server_id,name,project,type,quantity,usage_hours,price,price_max,price_net,price_gross,vat,date_from,date_to,is_backup,is_server,is_ceph
907649,gw-01.ffks.de,FFKS,cx31,1.0,720,8.9,8.9,8.9,10.591,0.19,2021-06-01,2021-06-30,False,True,False
907650,gw-17.ffks.de,FFKS,cx31,1.0,720,8.9,8.9,8.9,10.591,0.19,2021-06-01,2021-06-30,False,True,False
9841818,prod_mailcow_userdata,flipdot prod,unknown,25.0,,0.04,,1.0,1.19,0.19,2021-06-01,2021-06-30,False,False,False
10737402,prod_forum_backup_intermediate,flipdot prod,unknown,60.0,,0.04,,2.4,2.856,0.19,2021-06-01,2021-06-30,False,False,False
10428148,prod-backupserver,flipdot prod,cx11,1.0,720,2.49,2.49,2.49,2.9631000000000003,0.19,2021-06-01,2021-06-30,False,True,True
10633381,prod-docker,flipdot prod,cx11,1.0,720,2.49,2.49,2.49,2.9631000000000003,0.19,2021-06-01,2021-06-30,False,True,False
2014216,flipdot-datenschutz-1,flipdot prod,cx21,1.0,720,4.9,4.9,4.9,5.831,0.19,2021-06-01,2021-06-30,False,True,True
2014216,flipdot-datenschutz-1,flipdot prod,backup,1.0,,0.98,,0.98,1.1662,0.19,2021-06-01,2021-06-30,True,False,False
10428337,prod-mailserver,flipdot prod,cx21,1.0,720,4.9,4.9,4.9,5.831,0.19,2021-06-01,2021-06-30,False,True,False
11476273,prod-matrixserver,flipdot prod,cx21,1.0,720,4.9,4.9,4.9,5.831,0.19,2021-06-01,2021-06-30,False,True,False
11476273,prod-matrixserver,flipdot prod,backup,1.0,,0.98,,0.98,1.1662,0.19,2021-06-01,2021-06-30,True,False,False
3747984,ansible-managed-01,flipdot Member,cx11,1.0,720,2.49,2.49,2.49,2.9631000000000003,0.19,2021-06-01,2021-06-30,False,True,False
32060468,minecraft-gen2-17.02.2021_01:00,flipdot Minecraft,unknown,17.6304336523,,0.01,,0.17630433652299998,0.20980216046236996,0.19,2021-06-01,2021-06-30,False,False,False
32060702,test-mailserver-17.02.2021_01:16_to_save_money;standby,flipdot Dev,unknown,34.0988769824,,0.01,,0.340988769824,0.40577663609056,0.19,2021-06-01,2021-06-30,False,False,False
41769169,test-matrixserver-1625004727_to_save_money_standby,flipdot Dev,unknown,0.0655619135,,0.01,,0.000655619135,0.00078018677065,0.19,2021-06-01,2021-06-30,False,False,False
11996147,test-matrixserver,flipdot Dev,cx21,1.0,695,4.9,4.9,4.9,5.831,0.19,2021-06-01,2021-06-30,False,True,False
41769564,test-workadventuremanual-1625004867_to_save_money_standby,flipdot Dev,unknown,0.0622387206,,0.01,,0.000622387206,0.00074064077514,0.19,2021-06-01,2021-06-30,False,False,False
11067810,test-workadventuremanual,flipdot Dev,cx11,1.0,695,2.49,2.49,2.49,2.9631000000000003,0.19,2021-06-01,2021-06-30,False,True,False
41769937,test-docker-1625005028_to_save_money_standby,flipdot Dev,unknown,0.1582340739,,0.01,,0.0015823407389999999,0.0018829854794099998,0.19,2021-06-01,2021-06-30,False,False,False
7879956,test-docker,flipdot Dev,cx21,1.0,695,4.9,4.9,4.9,5.831,0.19,2021-06-01,2021-06-30,False,True,False
41770047,test-backupserver-1625005077_to_save_money_standby,flipdot Dev,unknown,0.046777109299999994,,0.01,,0.00046777109299999997,0.0005566476006699999,0.19,2021-06-01,2021-06-30,False,False,False
7333605,test-backupserver,flipdot Dev,cx11,1.0,695,2.49,2.49,2.49,2.9631000000000003,0.19,2021-06-01,2021-06-30,False,True,True
