server_id,name,project,type,quantity,usage_hours,price,price_max,price_net,price_gross,vat,date_from,date_to,is_backup,is_server,is_ceph
,,,bx11,1.0000000000,,3.2000000000,,3.20000000000000000000,3.8080000000000000000000,0.19,2024-02-01,2024-02-29,False,False,False
,,flipdot prod,volume,540.0000000000,,0.0440000000,,23.76000000000000000000,28.2744000000000000000000,0.19,2024-01-01,2024-01-31,False,False,False
,,flipdot prod,ip,5.0000000000,,0.5000000000,,2.50000000000000000000,2.9750000000000000000000,0.19,2024-01-01,2024-01-31,False,False,False
,,flipdot prod,cx11,1.0000000000,,2.1900000000,,2.19000000000000000000,2.6061000000000000000000,0.19,2024-01-01,2024-01-31,False,True,False
,,flipdot prod,cx21,4.0000000000,,4.8500000000,,19.40000000000000000000,23.0860000000000000000000,0.19,2024-01-01,2024-01-31,False,True,False
,,flipdot prod,backup,3.0000000000,,0.9700000000,,2.91000000000000000000,3.4629000000000000000000,0.19,2024-01-01,2024-01-31,True,False,False
,,flipdot Member,ip,2.0000000000,,0.5000000000,,1.00000000000000000000,1.1900000000000000000000,0.19,2024-01-01,2024-01-31,False,False,False
,,flipdot Member,snapshot,16.6412127647,,0.0110000000,,0.18305334041170000000,0.2178334750899230000000,0.19,2024-01-01,2024-01-31,False,False,False
,,flipdot Member,cax11,1.0000000000,,3.2900000000,,3.29000000000000000000,3.9151000000000000000000,0.19,2024-01-01,2024-01-31,False,True,False
,,flipdot Member,cx11,1.0000000000,,2.1900000000,,2.19000000000000000000,2.6061000000000000000000,0.19,2024-01-01,2024-01-31,False,True,False
,,flipdot Member,backup,1.0000000000,,0.4380000000,,0.43800000000000000000,0.5212200000000000000000,0.19,2024-01-01,2024-01-31,True,False,False
,,flipdot Minecraft,snapshot,17.6304336523,,0.0110000000,,0.19393477017530000000,0.2307823765086070000000,0.19,2024-01-01,2024-01-31,False,False,False
