server_id,name,project,type,quantity,usage_hours,price,price_max,price_net,price_gross,vat,date_from,date_to,is_backup,is_server,is_ceph
907650,gw-17.ffks.de,FFKS,cx31,1.0,720,8.9,8.9,8.9,10.591,0.19,2020-06-01,2020-06-30,False,True,False
907649,gw-01.ffks.de,FFKS,cx31,1.0,720,8.9,8.9,8.9,10.591,0.19,2020-06-01,2020-06-30,False,True,False
2014216,flipdot-datenschutz-1,flipdot Vorstand,cx21,1.0,720,4.9,4.9,4.9,5.831,0.19,2020-06-01,2020-06-30,False,True,True
2014216,flipdot-datenschutz-1,flipdot Vorstand,backup,1.0,,0.98,,0.98,1.1662,0.19,2020-06-01,2020-06-30,True,False,False
3747984,ansible-managed-01,flipdot Member,cx11,1.0,720,2.49,2.49,2.49,2.9631000000000003,0.19,2020-06-01,2020-06-30,False,True,False
5969718,minecraft-gen2,flipdot Minecraft,cx21,1.0,720,4.9,4.9,4.9,5.831,0.19,2020-06-01,2020-06-30,False,True,False
6452316,nginx,flipdot Dev,cx11,52.0,52,0.004,2.49,0.20800000000000002,0.24752000000000002,0.19,2020-06-01,2020-06-30,False,True,False
5967525,testmailserver,flipdot Dev,cx21,1.0,720,4.9,4.9,4.9,5.831,0.19,2020-06-01,2020-06-30,False,True,False
5967525,testmailserver,flipdot Dev,backup,1.0,,0.98,,0.98,1.1662,0.19,2020-06-01,2020-06-30,True,False,False
6281719,bbb3.flipdot Dev,flipdot Dev,cx21,95.0,95,0.008,4.9,0.76,0.9044,0.19,2020-06-01,2020-06-30,False,True,False
6282569,scalelite1.flipdot Dev,flipdot Dev,cpx11,92.0,92,0.006,3.49,0.552,0.65688,0.19,2020-06-01,2020-06-30,False,True,False
6281718,bbb2.flipdot Dev,flipdot Dev,cx21,95.0,95,0.008,4.9,0.76,0.9044,0.19,2020-06-01,2020-06-30,False,True,False
6281717,bbb1.flipdot Dev,flipdot Dev,cx21,95.0,95,0.008,4.9,0.76,0.9044,0.19,2020-06-01,2020-06-30,False,True,False
6281837,scalelite1.flipdot Dev,flipdot Dev,cpx11,2.0,2,0.006,3.49,0.012,0.01428,0.19,2020-06-01,2020-06-30,False,True,False
6282328,scalelite1.flipdot Dev,flipdot Dev,cpx11,1.0,1,0.006,3.49,0.006,0.00714,0.19,2020-06-01,2020-06-30,False,True,False
6281774,scalelite1.flipdot Dev,flipdot Dev,cpx11,1.0,1,0.006,3.49,0.006,0.00714,0.19,2020-06-01,2020-06-30,False,True,False
6223860,scalelite1.flipdot Dev,flipdot Dev,cpx11,107.0,107,0.006,3.49,0.642,0.76398,0.19,2020-06-01,2020-06-30,False,True,False
6213415,bbb3.flipdot Dev,flipdot Dev,cx21,119.0,119,0.008,4.9,0.9520000000000001,1.13288,0.19,2020-06-01,2020-06-30,False,True,False
6213414,bbb2.flipdot Dev,flipdot Dev,cx21,119.0,119,0.008,4.9,0.9520000000000001,1.13288,0.19,2020-06-01,2020-06-30,False,True,False
6213413,bbb1.flipdot Dev,flipdot Dev,cx21,119.0,119,0.008,4.9,0.9520000000000001,1.13288,0.19,2020-06-01,2020-06-30,False,True,False
