server_id,name,project,type,quantity,usage_hours,price,price_max,price_net,price_gross,vat,date_from,date_to,is_backup,is_server,is_ceph
,,,bx11,1.0000000000,,3.2000000000,,3.20000000000000000000,3.8080000000000000000000,0.19,2023-01-01,2023-01-31,False,False,False
,,flipdot prod,volume,27.8225806452,,0.0440000000,,1.22419354838880000000,1.4567903225826720000000,0.19,2022-12-01,2022-12-31,False,False,False
,,flipdot prod,volume,410.0000000000,,0.0400000000,,16.40000000000000000000,19.5160000000000000000000,0.19,2022-12-01,2022-12-31,False,False,False
,,flipdot prod,cx21,2.0000000000,,4.8500000000,,9.70000000000000000000,11.5430000000000000000000,0.19,2022-12-01,2022-12-31,False,True,False
,,flipdot prod,cx21,2.0000000000,,4.4000000000,,8.80000000000000000000,10.4720000000000000000000,0.19,2022-12-01,2022-12-31,False,True,False
,,flipdot prod,backup,2.0000000000,,0.9700000000,,1.94000000000000000000,2.3086000000000000000000,0.19,2022-12-01,2022-12-31,True,False,False
,,flipdot prod,backup,1.0000000000,,0.8800000000,,0.88000000000000000000,1.0472000000000000000000,0.19,2022-12-01,2022-12-31,True,False,False
,,flipdot prod,ip,5.0000000000,,0.5000000000,,2.50000000000000000000,2.9750000000000000000000,0.19,2022-12-01,2022-12-31,False,False,False
,,flipdot prod,cx11,1.0000000000,,1.9900000000,,1.99000000000000000000,2.3681000000000000000000,0.19,2022-12-01,2022-12-31,False,True,False
,,flipdot Member,ip,1.0000000000,,0.5000000000,,0.50000000000000000000,0.5950000000000000000000,0.19,2022-12-01,2022-12-31,False,False,False
,,flipdot Member,cx11,1.0000000000,,1.9900000000,,1.99000000000000000000,2.3681000000000000000000,0.19,2022-12-01,2022-12-31,False,True,False
,,flipdot Minecraft,snapshot,17.6304336523,,0.0100000000,,0.17630433652300000000,0.2098021604623700000000,0.19,2022-12-01,2022-12-31,False,False,False
