server_id,name,project,type,quantity,usage_hours,price,price_max,price_net,price_gross,vat,date_from,date_to,is_backup,is_server,is_ceph
,,,unknown,1.0,,2.9,,2.9,3.4509999999999996,0.19,2022-06-01,2022-06-30,False,False,False
10428337,prod-mailserver,flipdot prod,cx21,1.0,744,4.4,4.4,4.4,5.236,0.19,2022-05-01,2022-05-31,False,True,False
2014216,flipdot-datenschutz-1,flipdot prod,cx21,1.0,744,4.4,4.4,4.4,5.236,0.19,2022-05-01,2022-05-31,False,True,True
2014216,flipdot-datenschutz-1,flipdot prod,backup,1.0,,0.88,,0.88,1.0472,0.19,2022-05-01,2022-05-31,True,False,False
10633381,prod-docker,flipdot prod,cx11,1.0,744,1.99,1.99,1.99,2.3681,0.19,2022-05-01,2022-05-31,False,True,False
10428148,prod-backupserver,flipdot prod,cx11,1.0,744,1.99,1.99,1.99,2.3681,0.19,2022-05-01,2022-05-31,False,True,True
12426587,prod_restic_userdata,flipdot prod,unknown,40.0,,0.04,,1.6,1.904,0.19,2022-05-01,2022-05-31,False,False,False
10737402,prod_forum_backup_intermediate,flipdot prod,unknown,60.0,,0.04,,2.4,2.856,0.19,2022-05-01,2022-05-31,False,False,False
6428699,157.90.154.168/32,flipdot prod,unknown,1.0,744,0.5,0.5,0.5,0.595,0.19,2022-05-01,2022-05-31,False,False,False
6431687,157.90.155.5/32,flipdot prod,unknown,1.0,744,0.5,0.5,0.5,0.595,0.19,2022-05-01,2022-05-31,False,False,False
11476273,prod-matrixserver,flipdot prod,cpx31,1.0,744,11.9,11.9,11.9,14.161,0.19,2022-05-01,2022-05-31,False,True,False
11476273,prod-matrixserver,flipdot prod,backup,1.0,,2.38,,2.38,2.8322,0.19,2022-05-01,2022-05-31,True,False,False
6528277,157.90.144.95/32,flipdot prod,unknown,1.0,744,0.5,0.5,0.5,0.595,0.19,2022-05-01,2022-05-31,False,False,False
14511855,prod_matrix_userdata,flipdot prod,unknown,100.0,,0.04,,4.0,4.76,0.19,2022-05-01,2022-05-31,False,False,False
9841818,prod_mailcow_userdata,flipdot prod,unknown,40.0,,0.04,,1.6,1.904,0.19,2022-05-01,2022-05-31,False,False,False
6585497,78.46.164.8/32,flipdot prod,unknown,1.0,744,0.5,0.5,0.5,0.595,0.19,2022-05-01,2022-05-31,False,False,False
6674865,116.203.116.92/32,flipdot prod,unknown,1.0,744,0.5,0.5,0.5,0.595,0.19,2022-05-01,2022-05-31,False,False,False
3747984,ansible-managed-01,flipdot Member,cx11,1.0,744,1.99,1.99,1.99,2.3681,0.19,2022-05-01,2022-05-31,False,True,False
6757109,88.198.74.211/32,flipdot Member,unknown,1.0,744,0.5,0.5,0.5,0.595,0.19,2022-05-01,2022-05-31,False,False,False
32060468,minecraft-gen2-17.02.2021_01:00,flipdot Minecraft,unknown,17.6304336523,,0.01,,0.17630433652299998,0.20980216046236996,0.19,2022-05-01,2022-05-31,False,False,False
