server_id,name,project,type,quantity,usage_hours,price,price_max,price_net,price_gross,vat,date_from,date_to,is_backup,is_server,is_ceph
907650,gw-17.ffks.de,FFKS,cx31,1.0,720,8.9,8.9,8.9,10.591,0.19,2019-11-01,2019-11-30,False,True,False
907649,gw-01.ffks.de,FFKS,cx31,1.0,720,8.9,8.9,8.9,10.591,0.19,2019-11-01,2019-11-30,False,True,False
2014216,flipdot-datenschutz-1,flipdot Vorstand,cx21,1.0,720,4.9,4.9,4.9,5.831,0.19,2019-11-01,2019-11-30,False,True,True
2014216,flipdot-datenschutz-1,flipdot Vorstand,backup,1.0,,0.98,,0.98,1.1662,0.19,2019-11-01,2019-11-30,True,False,False
2752879,flipdot-minecraft,flipdot Minecraft,cx11,1.0,720,2.49,2.49,2.49,2.9631000000000003,0.19,2019-11-01,2019-11-30,False,True,False
3328911,flipdot-pretalx,flipdot Member,cx11,266.0,266,0.004,2.49,1.064,1.26616,0.19,2019-11-01,2019-11-30,False,True,False
