server_id,name,project,type,quantity,usage_hours,price,price_max,price_net,price_gross,vat,date_from,date_to,is_backup,is_server,is_ceph
907649,gw-14.ffks.de,FFKS,cx31,1.0,744,8.9,8.9,8.9,10.591,0.19,2019-07-01,2019-07-31,False,True,False
907650,gw-17.ffks.de,FFKS,cx31,1.0,744,8.9,8.9,8.9,10.591,0.19,2019-07-01,2019-07-31,False,True,False
2014216,flipdot-datenschutz-1,flipdot Vorstand,cx21,1.0,744,4.9,4.9,4.9,5.831,0.19,2019-07-01,2019-07-31,False,True,True
2014216,flipdot-datenschutz-1,flipdot Vorstand,backup,1.0,,0.98,,0.98,1.1662,0.19,2019-07-01,2019-07-31,True,False,False
2752879,flipdot-minecraft,flipdot Minecraft,cx11,1.0,744,2.49,2.49,2.49,2.9631000000000003,0.19,2019-07-01,2019-07-31,False,True,False
