server_id,name,project,type,quantity,usage_hours,price,price_max,price_net,price_gross,vat,date_from,date_to,is_backup,is_server,is_ceph
,,,bx11,1.0000000000,,3.2000000000,,3.20000000000000000000,3.8080000000000000000000,0.19,2023-07-01,2023-07-31,False,False,False
,,flipdot prod,volume,490.0000000000,,0.0440000000,,21.56000000000000000000,25.6564000000000000000000,0.19,2023-06-01,2023-06-30,False,False,False
,,flipdot prod,cx21,4.0000000000,,4.8500000000,,19.40000000000000000000,23.0860000000000000000000,0.19,2023-06-01,2023-06-30,False,True,False
,,flipdot prod,backup,3.0000000000,,0.9700000000,,2.91000000000000000000,3.4629000000000000000000,0.19,2023-06-01,2023-06-30,True,False,False
,,flipdot prod,cx11,1.0000000000,,2.1900000000,,2.19000000000000000000,2.6061000000000000000000,0.19,2023-06-01,2023-06-30,False,True,False
,,flipdot prod,ip,5.0000000000,,0.5000000000,,2.50000000000000000000,2.9750000000000000000000,0.19,2023-06-01,2023-06-30,False,False,False
,,flipdot Member,ip,196.0000000000,,0.0008000000,,0.15680000000000000000,0.1865920000000000000000,0.19,2023-06-01,2023-06-30,False,False,False
,,flipdot Member,ip,1.0000000000,,0.5000000000,,0.50000000000000000000,0.5950000000000000000000,0.19,2023-06-01,2023-06-30,False,False,False
,,flipdot Member,cax11,197.0000000000,,0.0053000000,,1.04410000000000000000,1.2424790000000000000000,0.19,2023-06-01,2023-06-30,False,True,False
,,flipdot Member,snapshot,6.8645002654,,0.0110000000,,0.07550950291940000000,0.0898563084740860000000,0.19,2023-06-01,2023-06-30,False,False,False
,,flipdot Member,cx11,1.0000000000,,2.1900000000,,2.19000000000000000000,2.6061000000000000000000,0.19,2023-06-01,2023-06-30,False,True,False
,,flipdot Member,backup,1.0000000000,,0.4380000000,,0.43800000000000000000,0.5212200000000000000000,0.19,2023-06-01,2023-06-30,True,False,False
,,flipdot Minecraft,snapshot,17.6304336523,,0.0110000000,,0.19393477017530000000,0.2307823765086070000000,0.19,2023-06-01,2023-06-30,False,False,False
