server_id,name,project,type,quantity,usage_hours,price,price_max,price_net,price_gross,vat,date_from,date_to,is_backup,is_server,is_ceph
907650,gw-17.ffks.de,FFKS,cx31,1.0,744,8.9,8.9,8.9,10.591,0.19,2019-12-01,2019-12-31,False,True,False
907649,gw-01.ffks.de,FFKS,cx31,1.0,744,8.9,8.9,8.9,10.591,0.19,2019-12-01,2019-12-31,False,True,False
2014216,flipdot-datenschutz-1,flipdot Vorstand,cx21,1.0,744,4.9,4.9,4.9,5.831,0.19,2019-12-01,2019-12-31,False,True,True
2014216,flipdot-datenschutz-1,flipdot Vorstand,backup,1.0,,0.98,,0.98,1.1662,0.19,2019-12-01,2019-12-31,True,False,False
3920530,,flipdot Member,cx11,9.0,9,0.004,2.49,0.036000000000000004,0.04284,0.19,2019-12-01,2019-12-31,False,True,False
3919351,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3919233,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3919228,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3918664,,flipdot Member,cx11,3.0,3,0.004,2.49,0.012,0.01428,0.19,2019-12-01,2019-12-31,False,True,False
3918656,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3918563,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3918558,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3918352,,flipdot Member,cx11,2.0,2,0.004,2.49,0.008,0.009519999999999999,0.19,2019-12-01,2019-12-31,False,True,False
3918347,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3917987,,flipdot Member,cx11,2.0,2,0.004,2.49,0.008,0.009519999999999999,0.19,2019-12-01,2019-12-31,False,True,False
3917984,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3917974,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3917863,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3917820,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3917803,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3917489,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3917471,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3917416,,flipdot Member,cx11,1.0,1,0.004,2.49,0.004,0.0047599999999999995,0.19,2019-12-01,2019-12-31,False,True,False
3747984,ansible-managed-01,flipdot Member,cx11,1.0,680,2.49,2.49,2.49,2.9631000000000003,0.19,2019-12-01,2019-12-31,False,True,False
2752879,flipdot-minecraft,flipdot Minecraft,cx11,1.0,744,2.49,2.49,2.49,2.9631000000000003,0.19,2019-12-01,2019-12-31,False,True,False
